Crop,Market,State,MinPrice,MaxPrice,ModalPrice
Rice,Vijayawada,Andhra Pradesh,2200,2600,2400
Maize,Guntur,Andhra Pradesh,1850,2250,2050
Cotton,Kurnool,Andhra Pradesh,6300,7100,6700
Groundnut,Anantapur,Andhra Pradesh,5350,6150,5750
Tomato,Kadapa,Andhra Pradesh,1400,2000,1700
Onion,Eluru,Andhra Pradesh,1600,2400,2000
Chilli,Chittoor,Andhra Pradesh,8550,10050,9300
Banana,Krishna,Andhra Pradesh,1900,2600,2250
Mango,Rajahmundry,Andhra Pradesh,3150,4350,3750
Sugarcane,Nellore,Andhra Pradesh,3000,3600,3300
Wheat,Visakhapatnam,Andhra Pradesh,2100,2500,2300
Barley,Srikakulam,Andhra Pradesh,1950,2350,2150
Millets,Hyderabad,Telangana,2500,3000,2750
Jowar,Warangal,Telangana,2350,2850,2600
Bajra,Khammam,Telangana,2300,2800,2550
Soybean,Nizamabad,Telangana,4000,4600,4300
Turmeric,Adilabad,Telangana,7050,8250,7650
Black Gram,Karimnagar,Telangana,6300,7100,6700
Green Gram,Mahabubnagar,Telangana,6650,7450,7050
Red Gram,Nalgonda,Telangana,6600,7400,7000
Rice,Vijayawada,Andhra Pradesh,2200,2600,2400
Maize,Guntur,Andhra Pradesh,1850,2250,2050
Cotton,Kurnool,Andhra Pradesh,6300,7100,6700
Groundnut,Anantapur,Andhra Pradesh,5350,6150,5750
Tomato,Kadapa,Andhra Pradesh,1400,2000,1700
Onion,Eluru,Andhra Pradesh,1600,2400,2000
Chilli,Chittoor,Andhra Pradesh,8550,10050,9300
Banana,Krishna,Andhra Pradesh,1900,2600,2250
Mango,Rajahmundry,Andhra Pradesh,3150,4350,3750
Sugarcane,Nellore,Andhra Pradesh,3000,3600,3300
Wheat,Visakhapatnam,Andhra Pradesh,2100,2500,2300
Barley,Srikakulam,Andhra Pradesh,1950,2350,2150
Millets,Hyderabad,Telangana,2500,3000,2750
Jowar,Warangal,Telangana,2350,2850,2600
Bajra,Khammam,Telangana,2300,2800,2550
Soybean,Nizamabad,Telangana,4000,4600,4300
Turmeric,Adilabad,Telangana,7050,8250,7650
Black Gram,Karimnagar,Telangana,6300,7100,6700
Green Gram,Mahabubnagar,Telangana,6650,7450,7050
Red Gram,Nalgonda,Telangana,6600,7400,7000
Rice,Vijayawada,Andhra Pradesh,2200,2600,2400
Maize,Guntur,Andhra Pradesh,1850,2250,2050
Cotton,Kurnool,Andhra Pradesh,6300,7100,6700
Groundnut,Anantapur,Andhra Pradesh,5350,6150,5750
Tomato,Kadapa,Andhra Pradesh,1400,2000,1700
Onion,Eluru,Andhra Pradesh,1600,2400,2000
Chilli,Chittoor,Andhra Pradesh,8550,10050,9300
Banana,Krishna,Andhra Pradesh,1900,2600,2250
Mango,Rajahmundry,Andhra Pradesh,3150,4350,3750
Sugarcane,Nellore,Andhra Pradesh,3000,3600,3300
Wheat,Visakhapatnam,Andhra Pradesh,2100,2500,2300
Barley,Srikakulam,Andhra Pradesh,1950,2350,2150
Millets,Hyderabad,Telangana,2500,3000,2750
Jowar,Warangal,Telangana,2350,2850,2600
Bajra,Khammam,Telangana,2300,2800,2550
Soybean,Nizamabad,Telangana,4000,4600,4300
Turmeric,Adilabad,Telangana,7050,8250,7650
Black Gram,Karimnagar,Telangana,6300,7100,6700
Green Gram,Mahabubnagar,Telangana,6650,7450,7050
Red Gram,Nalgonda,Telangana,6600,7400,7000
Rice,Vijayawada,Andhra Pradesh,2200,2600,2400
Maize,Guntur,Andhra Pradesh,1850,2250,2050
Cotton,Kurnool,Andhra Pradesh,6300,7100,6700
Groundnut,Anantapur,Andhra Pradesh,5350,6150,5750
Tomato,Kadapa,Andhra Pradesh,1400,2000,1700
Onion,Eluru,Andhra Pradesh,1600,2400,2000
Chilli,Chittoor,Andhra Pradesh,8550,10050,9300
Banana,Krishna,Andhra Pradesh,1900,2600,2250
Mango,Rajahmundry,Andhra Pradesh,3150,4350,3750
Sugarcane,Nellore,Andhra Pradesh,3000,3600,3300
Wheat,Visakhapatnam,Andhra Pradesh,2100,2500,2300
Barley,Srikakulam,Andhra Pradesh,1950,2350,2150
Millets,Hyderabad,Telangana,2500,3000,2750
Jowar,Warangal,Telangana,2350,2850,2600
Bajra,Khammam,Telangana,2300,2800,2550
Soybean,Nizamabad,Telangana,4000,4600,4300
Turmeric,Adilabad,Telangana,7050,8250,7650
Black Gram,Karimnagar,Telangana,6300,7100,6700
Green Gram,Mahabubnagar,Telangana,6650,7450,7050
Red Gram,Nalgonda,Telangana,6600,7400,7000
Rice,Vijayawada,Andhra Pradesh,2200,2600,2400
Maize,Guntur,Andhra Pradesh,1850,2250,2050
Cotton,Kurnool,Andhra Pradesh,6300,7100,6700
Groundnut,Anantapur,Andhra Pradesh,5350,6150,5750
Tomato,Kadapa,Andhra Pradesh,1400,2000,1700
Onion,Eluru,Andhra Pradesh,1600,2400,2000
Chilli,Chittoor,Andhra Pradesh,8550,10050,9300
Banana,Krishna,Andhra Pradesh,1900,2600,2250
Mango,Rajahmundry,Andhra Pradesh,3150,4350,3750
Sugarcane,Nellore,Andhra Pradesh,3000,3600,3300
Wheat,Visakhapatnam,Andhra Pradesh,2100,2500,2300
Barley,Srikakulam,Andhra Pradesh,1950,2350,2150
Millets,Hyderabad,Telangana,2500,3000,2750
Jowar,Warangal,Telangana,2350,2850,2600
Bajra,Khammam,Telangana,2300,2800,2550
Soybean,Nizamabad,Telangana,4000,4600,4300
Turmeric,Adilabad,Telangana,7050,8250,7650
Black Gram,Karimnagar,Telangana,6300,7100,6700
Green Gram,Mahabubnagar,Telangana,6650,7450,7050
Red Gram,Nalgonda,Telangana,6600,7400,7000
